ITERATION,GAP,STD_DEV,MAXIMUM,RMSE,DIFFERENCE,TOTAL
1,1.000000,2.312657,1.000000,251.9,6667123,6667123
2,0.686663,1.564331,1.000000,170.8,4631838,6745431
3,0.291977,0.953122,1.000000,99.7,759696,2601898
4,0.202658,0.820673,1.000000,84.5,533121,2630645
5,0.126327,0.507485,0.878312,52.3,324648,2569906
6,0.065096,0.267908,0.603081,27.6,156258,2400410
7,0.050289,0.201054,0.556812,20.7,118031,2347035
8,0.039001,0.157243,0.397466,16.2,90088,2309897
9,0.033222,0.151020,0.687961,15.5,76001,2287640
10,0.028620,0.120543,0.973447,12.4,64965,2269904
11,0.023669,0.098156,0.497162,10.1,53322,2252763
12,0.021581,0.100424,0.498548,10.3,48381,2241858
13,0.019713,0.090567,0.281067,9.3,44022,2233150
14,0.016720,0.073608,0.451235,7.5,37201,2224909
15,0.014490,0.063541,0.424769,6.5,32168,2220036
16,0.013368,0.062655,0.194743,6.4,29613,2215159
17,0.012755,0.056152,0.202951,5.8,28204,2211154
18,0.012095,0.058062,0.421135,5.9,26696,2207263
19,0.011050,0.051939,0.294115,5.3,24358,2204287
20,0.010229,0.047066,0.501223,4.8,22520,2201599
21,0.009426,0.042857,0.235537,4.4,20725,2198756
22,0.008600,0.038044,0.291799,3.9,18884,2195813
23,0.008804,0.040380,0.422919,4.1,19322,2194663
24,0.007950,0.035906,0.291271,3.7,17424,2191804
25,0.007416,0.036191,0.373422,3.7,16242,2190244
